Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
2.08929613085407e+04	(-4.61211889906960e+01dB,-8.97354021948375e+01°)
2.18776162394959e+04	(-4.64995267553466e+01dB,-8.97487837801715e+01°)
2.29086765276781e+04	(-4.68757496541846e+01dB,-8.97616355643423e+01°)
2.39883291901953e+04	(-4.72496480129838e+01dB,-8.97739852691653e+01°)
2.51188643150962e+04	(-4.76209907982949e+01dB,-8.97858596255797e+01°)
2.63026799189542e+04	(-4.79895233133744e+01dB,-8.97972844424130e+01°)
2.75422870333821e+04	(-4.83549646192865e+01dB,-8.98082846753397e+01°)
2.88403150312665e+04	(-4.87170046427759e+01dB,-8.98188844965982e+01°)
3.01995172040207e+04	(-4.90753009259796e+01dB,-8.98291073661187e+01°)
3.16227766016843e+04	(-4.94294749651608e+01dB,-8.98389761048346e+01°)
3.31131121482597e+04	(-4.97791080760800e+01dB,-8.98485129710980e+01°)
3.46736850452537e+04	(-5.01237367119309e+01dB,-8.98577397413063e+01°)
3.63078054770107e+04	(-5.04628471454240e+01dB,-8.98666777960908e+01°)
3.80189396320568e+04	(-5.07958694088632e+01dB,-8.98753482137240e+01°)
3.98107170553504e+04	(-5.11221703639962e+01dB,-8.98837718728024e+01°)
4.16869383470342e+04	(-5.14410457457731e+01dB,-8.98919695667793e+01°)
4.36515832240173e+04	(-5.17517109892481e+01dB,-8.98999621336014e+01°)
4.57088189614883e+04	(-5.20532906044674e+01dB,-8.99077706046008e+01°)
4.78630092322647e+04	(-5.23448058072296e+01dB,-8.99154163779877e+01°)
5.01187233627281e+04	(-5.26251600399034e+01dB,-8.99229214238989e+01°)
5.24807460249782e+04	(-5.28931219201908e+01dB,-8.99303085301416e+01°)
5.49540873857634e+04	(-5.31473050286423e+01dB,-8.99376016007731e+01°)
5.75439937337167e+04	(-5.33861437762032e+01dB,-8.99448260238343e+01°)
6.02559586074368e+04	(-5.36078643642592e+01dB,-8.99520091304288e+01°)
6.30957344480204e+04	(-5.38104495369518e+01dB,-8.99591807757365e+01°)
6.60693448007608e+04	(-5.39915953923294e+01dB,-8.99663740847084e+01°)
6.91830970918949e+04	(-5.41486579098696e+01dB,-8.99736264231149e+01°)
7.24435960075003e+04	(-5.42785859817970e+01dB,-8.99809806814878e+01°)
7.58577575029197e+04	(-5.43778364704682e+01dB,-8.99884870006009e+01°)
7.94328234724296e+04	(-5.44422649386222e+01dB,-8.99962051313570e+01°)
8.31763771102686e+04	(-5.44669828589441e+01dB,-9.00042077247462e+01°)
8.70963589956096e+04	(-5.44461677042488e+01dB,-9.00125850165016e+01°)
9.12010839355926e+04	(-5.43728053032105e+01dB,-9.00214516572208e+01°)
9.54992586021453e+04	(-5.42383323304019e+01dB,-9.00309569399539e+01°)
1.00000000000002e+05	(-5.40321272408195e+01dB,-9.00413005897183e+01°)
1.04712854805092e+05	(-5.37407634120536e+01dB,-9.00527580157647e+01°)
1.09647819614321e+05	(-5.33468743875807e+01dB,-9.00657224068762e+01°)
1.14815362149690e+05	(-5.28273565108415e+01dB,-9.00807784615633e+01°)
1.20226443461744e+05	(-5.21503749606187e+01dB,-9.00988395366005e+01°)
1.25892541179419e+05	(-5.12700553511875e+01dB,-9.01214226378263e+01°)
1.31825673855643e+05	(-5.01162909091727e+01dB,-9.01512556613091e+01°)
1.38038426460291e+05	(-4.85729821307050e+01dB,-9.01938038594943e+01°)
1.44543977074595e+05	(-4.64240862304878e+01dB,-9.02618880901085e+01°)
1.51356124843624e+05	(-4.31849201165052e+01dB,-9.03944283080385e+01°)
1.58489319246114e+05	(-3.72868374418978e+01dB,-9.07921481400210e+01°)
1.65958690743759e+05	(-1.00787364952304e+01dB,1.08439463248117e+02°)
1.73780082874941e+05	(-3.83861235382972e+01dB,9.06785245148063e+01°)
1.81970085861002e+05	(-4.43575549519278e+01dB,9.03229784617550e+01°)
1.90546071796328e+05	(-4.78576368861048e+01dB,9.01969791343858e+01°)
1.99526231496892e+05	(-5.02665731005084e+01dB,9.01295933078123e+01°)
2.08929613085408e+05	(-5.20122925429958e+01dB,9.00854474042576e+01°)
2.18776162394960e+05	(-5.32720934712196e+01dB,9.00524267006597e+01°)
2.29086765276782e+05	(-5.41229475072388e+01dB,9.00250616425269e+01°)
2.39883291901954e+05	(-5.45875399910462e+01dB,9.00002426368428e+01°)
2.51188643150963e+05	(-5.46477567894283e+01dB,8.99756365954394e+01°)
2.63026799189543e+05	(-5.42407838057086e+01dB,8.99487268434650e+01°)
2.75422870333822e+05	(-5.32341740101196e+01dB,8.99155124035980e+01°)
2.88403150312666e+05	(-5.13495474230696e+01dB,8.98669425511505e+01°)
3.01995172040208e+05	(-4.78865116800607e+01dB,8.97725707548481e+01°)
3.16227766016844e+05	(-3.99339791432031e+01dB,8.94024262790167e+01°)
3.31131121482598e+05	(-3.65978178238137e+01dB,-8.91584897483954e+01°)
3.46736850452539e+05	(-4.75502214592227e+01dB,-8.97968884174677e+01°)
3.63078054770109e+05	(-5.19241528757045e+01dB,-8.99139114767007e+01°)
3.80189396320569e+05	(-5.42069311770072e+01dB,-8.99720644889961e+01°)
3.98107170553505e+05	(-5.51224755340195e+01dB,-9.00148239354283e+01°)
4.16869383470344e+05	(-5.47225555734064e+01dB,-9.00572244753769e+01°)
4.36515832240175e+05	(-5.25499376796472e+01dB,-9.01167603910081e+01°)
4.57088189614884e+05	(-4.65655212486388e+01dB,-9.02760821773347e+01°)
4.78630092322648e+05	(-3.57351229443391e+01dB,9.08977800234357e+01°)
5.01187233627283e+05	(-5.07151718960892e+01dB,9.01055935915997e+01°)
5.24807460249784e+05	(-5.48918336427091e+01dB,9.00092926119993e+01°)
5.49540873857636e+05	(-5.57429935426669e+01dB,8.99502191267231e+01°)
5.75439937337169e+05	(-5.31856221218006e+01dB,8.98731343074267e+01°)
6.02559586074371e+05	(-3.98734304625165e+01dB,8.93619822721016e+01°)
6.30957344480207e+05	(-5.06428282814639e+01dB,-8.98902961411763e+01°)
6.60693448007610e+05	(-5.60830514652151e+01dB,-9.00178714343375e+01°)
6.91830970918951e+05	(-5.49129930241494e+01dB,-9.01004120148520e+01°)
7.24435960075006e+05	(-3.39642066587841e+01dB,-9.11808001344920e+01°)
7.58577575029200e+05	(-5.48529633224387e+01dB,9.00098482421413e+01°)
7.94328234724299e+05	(-5.58806947101479e+01dB,8.99027551096303e+01°)
8.31763771102689e+05	(-4.15851830576914e+01dB,-8.95705913429091e+01°)
8.70963589956100e+05	(-5.77362713687583e+01dB,-9.00563329556265e+01°)
9.12010839355930e+05	(-6.93225693193295e-01dB,-1.68247047791875e+02°)
9.54992586021457e+05	(-5.82972174738431e+01dB,8.99202251207326e+01°)
1.00000000000000e+06	(-5.71834958727607e+01dB,-9.00109046757399e+01°)
Step Information: Run=2  (Step: 2/100)
1.00000000000000e+00	(-1.38290178006096e-01dB,-5.60769593944700e-01°)
1.04712854805090e+00	(-1.38330312665636e-01dB,-5.87196041844178e-01°)
1.09647819614319e+00	(-1.38374319018443e-01dB,-6.14867661899309e-01°)
1.14815362149688e+00	(-1.38422570512316e-01dB,-6.43843097572173e-01°)
1.20226443461741e+00	(-1.38475476607109e-01dB,-6.74183750226712e-01°)
1.25892541179417e+00	(-1.38533486245602e-01dB,-7.05953908234784e-01°)
