Freq.	V(n028)/V(n012)
3.33042762308750e+01	(-2.96701144980943e-03dB,-3.78743359184805e-01°)
3.34965439157832e+01	(-2.96918800796218e-03dB,-3.80929804842244e-01°)
3.36899215741495e+01	(-2.97138976836031e-03dB,-3.83128871880047e-01°)
3.38844156139207e+01	(-2.97361702289077e-03dB,-3.85340633143039e-01°)
3.40800324800369e+01	(-2.97587006625496e-03dB,-3.87565161896152e-01°)
3.42767786546454e+01	(-2.97814919779768e-03dB,-3.89802531826758e-01°)
3.44746606573154e+01	(-2.98045471916019e-03dB,-3.92052817047556e-01°)
3.46736850452536e+01	(-2.98278693610337e-03dB,-3.94316092098637e-01°)
3.48738584135223e+01	(-2.98514615756727e-03dB,-3.96592431950096e-01°)
3.50751873952572e+01	(-2.98753269621896e-03dB,-3.98881912004400e-01°)
3.52776786618878e+01	(-2.98994686809955e-03dB,-4.01184608099107e-01°)
3.54813389233580e+01	(-2.99238899309492e-03dB,-4.03500596509090e-01°)
3.56861749283486e+01	(-2.99485939559462e-03dB,-4.05829953948924e-01°)
3.58921934645010e+01	(-2.99735840234936e-03dB,-4.08172757576167e-01°)
3.60994013586421e+01	(-2.99988634531292e-03dB,-4.10529084992914e-01°)
3.63078054770106e+01	(-3.00244355879257e-03dB,-4.12899014249336e-01°)
3.65174127254842e+01	(-3.00503038125877e-03dB,-4.15282623845678e-01°)
3.67282300498089e+01	(-3.00764715638124e-03dB,-4.17679992734536e-01°)
3.69402644358288e+01	(-3.01029423110354e-03dB,-4.20091200324172e-01°)
3.71535229097177e+01	(-3.01297195594017e-03dB,-4.22516326480884e-01°)
3.73680125382121e+01	(-3.01568068511839e-03dB,-4.24955451531783e-01°)
3.75837404288449e+01	(-3.01842077803781e-03dB,-4.27408656266881e-01°)
3.78007137301816e+01	(-3.02119259849287e-03dB,-4.29876021942068e-01°)
3.80189396320566e+01	(-3.02399651336282e-03dB,-4.32357630282261e-01°)
3.82384253658118e+01	(-3.02683289388902e-03dB,-4.34853563483552e-01°)
3.84591782045359e+01	(-3.02970211656721e-03dB,-4.37363904215957e-01°)
3.86812054633057e+01	(-3.03260456115070e-03dB,-4.39888735626453e-01°)
3.89045144994286e+01	(-3.03554061199034e-03dB,-4.42428141341500e-01°)
3.91291127126858e+01	(-3.03851065939466e-03dB,-4.44982205469416e-01°)
3.93550075455783e+01	(-3.04151509630668e-03dB,-4.47551012604121e-01°)
3.95822064835728e+01	(-3.04455432017631e-03dB,-4.50134647827317e-01°)
3.98107170553503e+01	(-3.04762873508940e-03dB,-4.52733196710880e-01°)
4.00405468330552e+01	(-3.05073874717886e-03dB,-4.55346745320746e-01°)
4.02717034325465e+01	(-3.05388476960911e-03dB,-4.57975380218642e-01°)
4.05041945136499e+01	(-3.05706721895570e-03dB,-4.60619188465794e-01°)
4.07380277804118e+01	(-3.06028651663886e-03dB,-4.63278257625456e-01°)
