Freq.	V(n028)/V(n012)
1.97242273611487e+01	(-2.84494444740919e-03dB,-2.24310251777994e-01°)
1.98380965683652e+01	(-2.84570757798425e-03dB,-2.25605195780271e-01°)
1.99526231496889e+01	(-2.84647954554544e-03dB,-2.26907615345397e-01°)
2.00678109001820e+01	(-2.84726045205217e-03dB,-2.28217553626519e-01°)
2.01836636368157e+01	(-2.84805040020184e-03dB,-2.29535054026006e-01°)
2.03001851985970e+01	(-2.84884949566305e-03dB,-2.30860160195701e-01°)
2.04173794466954e+01	(-2.84965784470253e-03dB,-2.32192916039788e-01°)
2.05352502645716e+01	(-2.85047555329961e-03dB,-2.33533365716725e-01°)
2.06538015581054e+01	(-2.85130273005657e-03dB,-2.34881553639002e-01°)
2.07730372557258e+01	(-2.85213948535359e-03dB,-2.36237524475096e-01°)
2.08929613085405e+01	(-2.85298592983620e-03dB,-2.37601323151829e-01°)
2.10135776904676e+01	(-2.85384217525551e-03dB,-2.38972994855640e-01°)
2.11348903983666e+01	(-2.85470833501125e-03dB,-2.40352585033164e-01°)
2.12569034521712e+01	(-2.85558452487050e-03dB,-2.41740139393046e-01°)
2.13796208950225e+01	(-2.85647085951035e-03dB,-2.43135703908959e-01°)
2.15030467934027e+01	(-2.85736745815532e-03dB,-2.44539324818174e-01°)
2.16271852372704e+01	(-2.85827443811228e-03dB,-2.45951048626541e-01°)
2.17520403401954e+01	(-2.85919192092013e-03dB,-2.47370922106817e-01°)
2.18776162394957e+01	(-2.86012002638047e-03dB,-2.48798992303239e-01°)
2.20039170963742e+01	(-2.86105887965558e-03dB,-2.50235306529668e-01°)
2.21309470960565e+01	(-2.86200860360133e-03dB,-2.51679912374814e-01°)
2.22587104479302e+01	(-2.86296932475479e-03dB,-2.53132857700917e-01°)
2.23872113856836e+01	(-2.86394117042097e-03dB,-2.54594190646750e-01°)
2.25164541674464e+01	(-2.86492426888219e-03dB,-2.56063959629159e-01°)
2.26464430759308e+01	(-2.86591875086430e-03dB,-2.57542213343936e-01°)
2.27771824185734e+01	(-2.86692474880067e-03dB,-2.59029000767875e-01°)
2.29086765276779e+01	(-2.86794239456240e-03dB,-2.60524371161319e-01°)
2.30409297605586e+01	(-2.86897182434618e-03dB,-2.62028374067568e-01°)
2.31739464996850e+01	(-2.87001317426777e-03dB,-2.63541059316683e-01°)
2.33077311528266e+01	(-2.87106658211189e-03dB,-2.65062477026201e-01°)
2.34422881531994e+01	(-2.87213218772288e-03dB,-2.66592677602632e-01°)
2.35776219596127e+01	(-2.87321013155872e-03dB,-2.68131711743964e-01°)
2.37137370566168e+01	(-2.87430055760235e-03dB,-2.69679630439717e-01°)
2.38506379546513e+01	(-2.87540360988313e-03dB,-2.71236484974463e-01°)
2.39883291901951e+01	(-2.87651943483442e-03dB,-2.72802326928459e-01°)
2.41268153259165e+01	(-2.87764817973383e-03dB,-2.74377208179932e-01°)
2.42661009508244e+01	(-2.87878999482148e-03dB,-2.75961180905995e-01°)
2.44061906804200e+01	(-2.87994503098108e-03dB,-2.77554297585279e-01°)
2.45470891568505e+01	(-2.88111344198078e-03dB,-2.79156610998611e-01°)
2.46888010490623e+01	(-2.88229538152326e-03dB,-2.80768174232601e-01°)
2.48313310529559e+01	(-2.88349100770820e-03dB,-2.82389040678625e-01°)
2.49746838915417e+01	(-2.88470047746632e-03dB,-2.84019264037777e-01°)
2.51188643150960e+01	(-2.88592395230861e-03dB,-2.85658898319699e-01°)
2.52638771013192e+01	(-2.88716159382339e-03dB,-2.87307997846416e-01°)
2.54097270554933e+01	(-2.88841356619791e-03dB,-2.88966617253228e-01°)
2.55564190106416e+01	(-2.88968003531545e-03dB,-2.90634811490731e-01°)
2.57039578276889e+01	(-2.89096116944982e-03dB,-2.92312635826467e-01°)
2.58523483956221e+01	(-2.89225713763616e-03dB,-2.94000145847265e-01°)
2.60015956316530e+01	(-2.89356811235547e-03dB,-2.95697397460239e-01°)
2.61517044813802e+01	(-2.89489426696389e-03dB,-2.97404446895514e-01°)
2.63026799189541e+01	(-2.89623577704898e-03dB,-2.99121350707570e-01°)
2.64545269472407e+01	(-2.89759282088406e-03dB,-3.00848165776940e-01°)
2.66072505979884e+01	(-2.89896557807482e-03dB,-3.02584949312684e-01°)
2.67608559319936e+01	(-2.90035423079893e-03dB,-3.04331758853879e-01°)
2.69153480392694e+01	(-2.90175896265324e-03dB,-3.06088652271739e-01°)
2.70707320392138e+01	(-2.90317995997635e-03dB,-3.07855687771205e-01°)
2.72270130807794e+01	(-2.90461741143092e-03dB,-3.09632923892958e-01°)
2.73841963426439e+01	(-2.90607150700524e-03dB,-3.11420419515941e-01°)
2.75422870333819e+01	(-2.90754243975928e-03dB,-3.13218233858390e-01°)
2.77012903916376e+01	(-2.90903040497484e-03dB,-3.15026426480218e-01°)
2.78612116862980e+01	(-2.91053559923910e-03dB,-3.16845057285452e-01°)
2.80220562166677e+01	(-2.91205822223313e-03dB,-3.18674186523267e-01°)
2.81838293126448e+01	(-2.91359847601611e-03dB,-3.20513874790726e-01°)
2.83465363348970e+01	(-2.91515656477355e-03dB,-3.22364183034355e-01°)
2.85101826750394e+01	(-2.91673269432727e-03dB,-3.24225172552784e-01°)
2.86747737558135e+01	(-2.91832707408015e-03dB,-3.26096904997760e-01°)
2.88403150312664e+01	(-2.91993991535786e-03dB,-3.27979442376967e-01°)
2.90068119869318e+01	(-2.92157143151214e-03dB,-3.29872847055982e-01°)
2.91742701400120e+01	(-2.92322183957900e-03dB,-3.31777181759862e-01°)
2.93426950395600e+01	(-2.92489135778127e-03dB,-3.33692509575928e-01°)
2.95120922666642e+01	(-2.92658020727075e-03dB,-3.35618893955490e-01°)
2.96824674346327e+01	(-2.92828861217164e-03dB,-3.37556398715584e-01°)
2.98538261891799e+01	(-2.93001679834095e-03dB,-3.39505088041965e-01°)
3.00261742086130e+01	(-2.93176499565188e-03dB,-3.41465026490063e-01°)
3.01995172040205e+01	(-2.93353343562942e-03dB,-3.43436278988202e-01°)
3.03738609194614e+01	(-2.93532235223947e-03dB,-3.45418910839365e-01°)
3.05492111321555e+01	(-2.93713198267309e-03dB,-3.47412987723015e-01°)
3.07255736526748e+01	(-2.93896256714107e-03dB,-3.49418575697600e-01°)
3.09029543251362e+01	(-2.94081434760731e-03dB,-3.51435741202949e-01°)
3.10813590273951e+01	(-2.94268756975002e-03dB,-3.53464551061885e-01°)
3.12607936712399e+01	(-2.94458248243109e-03dB,-3.55505072482632e-01°)
3.14412642025883e+01	(-2.94649933646241e-03dB,-3.57557373061446e-01°)
3.16227766016841e+01	(-2.94843838522413e-03dB,-3.59621520784763e-01°)
3.18053368832956e+01	(-2.95039988629691e-03dB,-3.61697584030613e-01°)
3.19889510969143e+01	(-2.95238409952395e-03dB,-3.63785631572010e-01°)
3.21736253269564e+01	(-2.95439128822740e-03dB,-3.65885732578303e-01°)
3.23593656929632e+01	(-2.95642171792537e-03dB,-3.67997956618298e-01°)
3.25461783498050e+01	(-2.95847565810986e-03dB,-3.70122373661756e-01°)
3.27340694878842e+01	(-2.96055338074475e-03dB,-3.72259054082422e-01°)
