Freq.	V(n028)/V(n012)
5.68852930843851e+01	(-3.32740997750228e-03dB,-6.46893842325182e-01°)
5.72136954652336e+01	(-3.33375939395500e-03dB,-6.50628084255016e-01°)
5.75439937337167e+01	(-3.34018232363806e-03dB,-6.54383878677802e-01°)
5.78761988349131e+01	(-3.34667961762930e-03dB,-6.58161349921302e-01°)
5.82103217770881e+01	(-3.35325213688569e-03dB,-6.61960623029287e-01°)
5.85463736320587e+01	(-3.35990075195397e-03dB,-6.65781823765844e-01°)
5.88843655355599e+01	(-3.36662634430502e-03dB,-6.69625078619153e-01°)
5.92243086876141e+01	(-3.37342980443154e-03dB,-6.73490514806114e-01°)
5.95662143529021e+01	(-3.38031203373224e-03dB,-6.77378260276196e-01°)
5.99100938611364e+01	(-3.38727394458238e-03dB,-6.81288443715451e-01°)
6.02559586074368e+01	(-3.39431645920714e-03dB,-6.85221194551279e-01°)
6.06038200527077e+01	(-3.40144051075737e-03dB,-6.89176642956269e-01°)
6.09536897240180e+01	(-3.40864704275021e-03dB,-6.93154919852662e-01°)
6.13055792149831e+01	(-3.41593701008988e-03dB,-6.97156156916488e-01°)
6.16595001861493e+01	(-3.42331137885266e-03dB,-7.01180486581914e-01°)
6.20154643653796e+01	(-3.43077112598608e-03dB,-7.05228042045729e-01°)
6.23734835482430e+01	(-3.43831724022841e-03dB,-7.09298957271468e-01°)
6.27335695984049e+01	(-3.44595072021316e-03dB,-7.13393366994352e-01°)
6.30957344480205e+01	(-3.45367257857984e-03dB,-7.17511406724687e-01°)
6.34599900981298e+01	(-3.46148383752876e-03dB,-7.21653212753466e-01°)
6.38263486190560e+01	(-3.46938553233559e-03dB,-7.25818922155988e-01°)
6.41948221508047e+01	(-3.47737870960544e-03dB,-7.30008672796802e-01°)
6.45654229034667e+01	(-3.48546442845667e-03dB,-7.34222603333932e-01°)
6.49381631576223e+01	(-3.49364376013136e-03dB,-7.38460853223680e-01°)
6.53130552647484e+01	(-3.50191778817780e-03dB,-7.42723562725012e-01°)
6.56901116476278e+01	(-3.51028760904011e-03dB,-7.47010872904199e-01°)
6.60693448007608e+01	(-3.51875433101842e-03dB,-7.51322925639555e-01°)
6.64507672907792e+01	(-3.52731907621784e-03dB,-7.55659863625857e-01°)
6.68343917568627e+01	(-3.53598297965819e-03dB,-7.60021830379039e-01°)
6.72202309111579e+01	(-3.54474718831331e-03dB,-7.64408970241373e-01°)
6.76082975391994e+01	(-3.55361286359642e-03dB,-7.68821428385403e-01°)
6.79986045003335e+01	(-3.56258117999037e-03dB,-7.73259350819305e-01°)
6.83911647281442e+01	(-3.57165332575311e-03dB,-7.77722884391329e-01°)
6.87859912308820e+01	(-3.58083050249626e-03dB,-7.82212176794833e-01°)
6.91830970918950e+01	(-3.59011392652732e-03dB,-7.86727376572886e-01°)
6.95824954700618e+01	(-3.59950482627692e-03dB,-7.91268633123609e-01°)
6.99841996002287e+01	(-3.60900444751535e-03dB,-7.95836096704023e-01°)
7.03882227936470e+01	(-3.61861404808825e-03dB,-8.00429918436180e-01°)
7.07945784384151e+01	(-3.62833490013672e-03dB,-8.05050250311608e-01°)
7.12032799999216e+01	(-3.63816829252384e-03dB,-8.09697245195699e-01°)
7.16143410212916e+01	(-3.64811552732908e-03dB,-8.14371056833766e-01°)
7.20277751238355e+01	(-3.65817792238098e-03dB,-8.19071839855263e-01°)
7.24435960075004e+01	(-3.66835681058597e-03dB,-8.23799749779156e-01°)
7.28618174513242e+01	(-3.67865354036757e-03dB,-8.28554943018950e-01°)
7.32824533138918e+01	(-3.68906947579982e-03dB,-8.33337576887790e-01°)
7.37055175337949e+01	(-3.69960599642905e-03dB,-8.38147809603657e-01°)
